集群名,数据库名称,数据库类型
BJ13_BJ_recon,recon,goldendb分布式
BJ13_CDS,cds,NUDB
BJ13_CDS,schedule,NUDB
BJ13_CDS,schedule_offline,NUDB
BJ13_HAC,hacconf,NUDB
BJ13_HAC,hacref,NUDB
BJ13_HAC,radius,NUDB
BJ13_HAC,soc,NUDB
BJ13_HAC,nemo_cds,goldendb分布式
BJ13_HAC,anteater,NUDB
BJ13_bcs_merchant_00,bcs_merchant_00,NUDB
BJ13_bcs_merchant_00,erms_mngmt,NUDB
BJ13_bcs_trans_00,bcs_trans_00,NUDB
BJ13_bcs_trans_01,bcs_trans_01,NUDB
BJ13_bcs_trans_02,bcs_trans_02,NUDB
BJ13_bcs_trans_03,bcs_trans_03,NUDB
BJ13_clearing_branch_00,clearing_branch_00,NUDB
BJ13_clearing_branch_01,clearing_branch_01,NUDB
